source_name,address,city,state,zip,latitude,longitude,phone,council_district,wifi,public_computers,lending_devices,digital_literacy_training,location_url,dataset_id,source_api,snapshot_method,operational_warning
Yarborough Branch,2200 Hancock Dr,Austin,TX,78756,30.323460982,-97.740733976,512-974-8820,7,Yes,8,,Yes,https://library.austintexas.gov/yarborough,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Windsor Park Branch,5833 Westminster Dr,Austin,TX,78723,30.31166601,-97.690238039,512-974-9840,4,Yes,20,,Yes,https://library.austintexas.gov/windsor-park,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Southeast Branch,5803 Nuckols Crossing Rd,Austin,TX,78744,30.186620001,-97.742100981,512-974-8840,2,Yes,16,,Yes,https://library.austintexas.gov/southeast,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Pleasant Hill Branch,211 E William Cannon Dr,Austin,TX,78745,30.192246982,-97.777164996,512-974-3940,2,Yes,11,,Yes,https://library.austintexas.gov/pleasant-hill,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Twin Oaks Branch,1800 S Fifth St,Austin,TX,78704,30.248673996,-97.762382002,512-974-9980,9,Yes,25,,Yes,https://library.austintexas.gov/twin-oaks,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Terrazas Branch,1105 E Cesar Chavez St,Austin,TX,78702,30.259904992,-97.733440966,512-974-3625,3,Yes,15,,Yes,https://library.austintexas.gov/terrazas,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Milwood Branch,12500 Amherst Dr,Austin,TX,78727,30.42233299,-97.716188998,512-974-9880,7,Yes,7,,Yes,https://library.austintexas.gov/milwood,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Menchaca Road Branch,5500 Menchaca Rd,Austin,TX,78745,30.216598003,-97.797321965,512-974-8700,5,Yes,20,8,Yes,https://library.austintexas.gov/menchaca-road,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Willie Mae Kirk Branch,3101 Oak Springs Dr,Austin,TX,78702,30.272980007,-97.699731969,512-974-9920,3,Yes,11,,Yes,https://library.austintexas.gov/willie-mae-kirk,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Cepeda Branch,651 N Pleasant Valley Rd,Austin,TX,78702,30.259047984,-97.708882996,512-974-7372,3,Yes,10,,Yes,https://library.austintexas.gov/cepeda,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
